Model,Technology,Materials,Brand,Build Size
Mars,DUP (LCD-based Direct UV Printing),"Resin, Castable Resin, Flexible Resin and +6 materials",ELEGOO,120 x 68 x 155 mm 
BLV mgn Cube,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +4 materials",RepRap,300 x 300 x 365 mm
CR-10 Max,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +28 materials",Creality,450 x 450 x 470 mm
3D-Drucker,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon",3DConstructions,500 x 500 x 500 mm
Elfin,DLP (Digital Light Processing),"Resin, Castable Resin, Dental SG Resin",NOVA3D,130 x 70 x 150 mm
HiEHA-SQ1,DLP (Digital Light Processing),"Resin, Castable Resin, Tough Resin",HIEHA,115 x 65 x 100 mm 
Craftbot 3,FDM (Fused Deposition Modeling),"PLA, ABS, FLEX (Elastic TPE) and +7 materials",CraftUnique,374 x 250 x 250 mm
P1000,SLS (Selective Laser Sintering),"PA12 Nylon, Polyamide, PA11 Nylon",Prodways,300 x 300 x 300 mm 
Predator,FDM (Fused Deposition Modeling),"PLA, ABS, HIPS and +2 materials",Anycubic,370 x 370 x 455 mm
Lisa Pro,SLS (Selective Laser Sintering),"PA12 Nylon, PA11 Nylon, TPU powder",Sinterit,150 x 200 x 260 mm 
AGIL ISTA-3200W,PolyJet and PolyJetMatrix,"Standard acrylic Resin, Silicone Resin",Keyence,297 x 210 x 200 mm
DIGITALWAX 029J,SLA (Stereolithography),"Resin, Castable Resin",DWS LAB,110 x 110 x 100 mm
EPAX X10,DLP (Digital Light Processing),"Resin, Castable Resin, Tough Resin and +7 materials",EPAX 3D,216 x 135 x 250 mm
HIEHA-SQ3,DLP (Digital Light Processing),"Resin, Castable Resin, Tough Resin",HIEHA,215 x 135 x 200 mm 
SL1,SLA (Stereolithography),"Resin, Castable Resin, Tough Resin",Prusa 3D,120 x 68 x 150 mm 
Shadow 5.5 S,DLP (Digital Light Processing),"Resin, Castable Resin, Flexible Resin",Qidi Tech,115 x 65 x 150 mm
ET4,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",Anet 3D,220 x 220 x 250 mm
Optimus P1,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",Febtop Tech,600 x 600 x 1000 mm
MINI,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA and +3 materials",Createbot,150 x 150 x 220 mm
X5SA,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA and +1 materials",TronXY,330 x 330 x 400 mm
X5ST-400,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",TronXY,400 x 400 x 400 mm
X5SA-400,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",TronXY,400 x 400 x 400 mm
Pro2,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +8 materials",Raise3D,305 x 305 x 300 mm
Sidewinder X1,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +8 materials",Artillery,300 x 300 x 400 mm
Transform,DUP (LCD-based Direct UV Printing),"ASA, Resin, Castable Resin and +5 materials",Phrozen,292 x 165 x 400 mm 
MINI,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +5 materials",Prusa 3D,180 x 180 x 180 mm 
MOIRA DF3,FDM (Fused Deposition Modeling),"PLA, ABS, PET",DediBot,150 x 150 x 175 mm
Zaribo 320 MK3s Rel 3,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",Zaribo,400 x  460 x 550 mm
Ceto,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon",Wombot,250 x 250 x 380 mm
Skeletus,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon",Wombot,400 x 400 x 500 mm
Cubus,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon",Wombot,500 x 500 x 500 mm
Sirius,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon",Aurarum,800 x 475 x 1000 mm
UNIONTECH SLA RS PRO 600,SLA (Stereolithography),"Resin, Castable Resin, Tough Resin and +5 materials",Europac 3D,600 x 600 x 500 mm
UNIONTECH SLA RS PRO 800,SLA (Stereolithography),"Resin, Castable Resin, Tough Resin and +5 materials",Europac 3D,800 x 800 x 550 mm
HT1001P,SLS (Selective Laser Sintering),"PA12 Nylon, PA-12 with Glass Beads",Farsoon Technologies,1000 x 500 x 450 mm
403P,SLS (Selective Laser Sintering),"PA12 Nylon, TPU powder, PA-12 with Glass Beads",Farsoon Technologies,400 x 400 x 450 mm
252P,SLS (Selective Laser Sintering),"PA12 Nylon, TPU powder, PA-12 with Glass Beads",Farsoon Technologies,250 x 250 x 320 mm
eForm,SLS (Selective Laser Sintering),"PA12 Nylon, TPU powder, PA-12 with Glass Beads",Farsoon Technologies,250 x 250 x 320 mm
Sv01,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon",Sovol3d,280 x 240 x 300 mm
Ender 5 Plus,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +19 materials",Creality,350 x 350 x 400 mm
EPAX X1,DUP (LCD-based Direct UV Printing),"Resin, Castable Resin, Tough Resin",EPAX 3D,115 x 65 x 155 mm
A8 PLUS,FDM (Fused Deposition Modeling),"PLA, ABS, FLEX (Elastic TPE)",Anet 3D,300 x 300 x 350 mm
Snapmaker 2 A150,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",Snapmaker,160 x 160 x 145 mm 
Snapmaker 2 A250,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",Snapmaker,230 x 250 x 235 mm 
Snapmaker 2 A350,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",Snapmaker,320 x 350 x 330 mm 
Light 215 Pro,DLP (Digital Light Processing),"Resin, Tough Resin, Flexible Resin",Wiiboox,215 x 135 x 200 mm
FT-I3 Mega,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon",Folger Tech,300 x 300 x 400 mm 
Mars Pro,DUP (LCD-based Direct UV Printing),"Resin, Castable Resin, Tough Resin",ELEGOO,120 x 68 x 155 mm 
LK4 Pro,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +1 materials",Longer,220 x 220 x 250 mm
LD-002R,DUP (LCD-based Direct UV Printing),"Resin, Tough Resin, Flexible Resin and +4 materials",Creality,119 x 65 x 160 mm
Shuffle LITE,DUP (LCD-based Direct UV Printing),"Resin, Tough Resin, Flexible Resin",Phrozen,120  x 68 x 170 mm
S400-S,DUP (LCD-based Direct UV Printing),"Resin, Castable Resin, Tough Resin",Kelant,192 x 120 x 200 mm
SLM 500,SLM (Selective Laser Melting),"Stainless Steel 316L, Titanium Ti64, Aluminium AlSi10Mg",SLM Solutions,500 x 280 x 365 mm 
SLM 280,SLM (Selective Laser Melting),"Stainless Steel 316L, Aluminium AlSi10Mg",SLM Solutions,280 x 280 x 365 mm 
MJF 5200,MJF (MultiJet Fusion Technology),"PA12 Nylon, Polyamide, PA11 Nylon",HP,380 x 284 x 380 mm 
MJF 580,MJF (MultiJet Fusion Technology),PA12 Nylon,HP,332 x 190 x 248 mm 
Method X,FDM (Fused Deposition Modeling),"PLA, ABS, PETG",Makerbot,190 x 190 x 196 mm 
Orange 30,DUP (LCD-based Direct UV Printing),"Resin, Castable Resin, Tough Resin",Longer,120 x 68 x 170 mm
gMax 2,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +1 materials",gCreate,457 x 457 x 609 mm 
Envision One cDLM,DLP (Digital Light Processing),"Resin, ABS-like Resin, Dental LT Resin",EnvisionTec,180 x 101 x 85 mm 
CR-20,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon",Creality,220 x 220 x 250 mm
3D40 Flex,FDM (Fused Deposition Modeling),"PLA, ABS, FLEX (Elastic TPE)",Dremel,255 x 155 x 170 mm 
Mega X,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +2 materials",Anycubic,300 x 300 x 305 mm
The Prism,DUP (LCD-based Direct UV Printing),Resin,Beam 3D,120 x 70 x 150 mm 
Jet Fusion 540,MJF (MultiJet Fusion Technology),PA12 Nylon,HP,332 x 190 x 248 mm 
S5 Pro,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +7 materials",Ultimaker,330 x 240 x 300 mm 
S3,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +4 materials",Ultimaker,230 x 190 x 200 mm 
Tarantula Pro,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",TEVO,235 x 235 x 250 mm 
Michelangelo,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",TEVO,150 x 150 x 150 mm
Nereus,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon",TEVO,320 x 320 x 400 mm
Phenom,SLA (Stereolithography),Resin,Peopoly,276 x 155 x 400 mm
Noir,SLA (Stereolithography),Resin,Peopoly,293.76 x 165.24 x 400 mm
L,SLA (Stereolithography),Resin,Peopoly,345.6 x 194.4 x 400 mm
M300 Plus,LPD (Layer Plastic Deposition),"PLA, ABS, Wood PLA and +2 materials",Zortrax,300 x 300 x 300 mm 
Inventure,LPD (Layer Plastic Deposition),"PLA, ABS, Wood PLA and +9 materials",Zortrax,135 x 135 x 130 mm 
ET4-X,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",Anet 3D,220 x 220 x 250 mm
ET4 Pro,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",Anet 3D,220 x 220 x 250 mm
ET5,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",Anet 3D,300 x 300 x 400 mm
N4,DUP (LCD-based Direct UV Printing),Resin,Anet 3D,120 x 65 x 138 mm
CR-5 Pro,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",Creality,300 x 225 x 380 mm
CP-01,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",Creality,200 x 200 x 200 mm
LD-003,DUP (LCD-based Direct UV Printing),Resin,Creality,192 x 120 x 230 mm
CR-100,FDM (Fused Deposition Modeling),PLA,Creality,100 x 100 x 80 mm
CR-3040,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",Creality,300 x 300 x 420 mm
DP-001,DUP (LCD-based Direct UV Printing),Resin,Creality,80 x 60 x 140 mm
T1250,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +1 materials",Tractus3D,350 x 350 x 600 mm
GENIUS,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",Artillery,220 x 220 x 250 mm
Mega Zero,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",Anycubic,220 x 220 x 250 mm
E2,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +22 materials",Raise3D,330 x 240 x 240 mm 
Big-120X,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",Modix,1200 x 600 x 660 mm
Voxel MP,FDM (Fused Deposition Modeling),,Monoprice,150 x 150 x 150 mm 
C100 EASY,SLA (Stereolithography),"Aluminium Nitride, Silicon Nitride, Silicore and +5 materials",3DCeram,100 x 100 x 150 mm
C900 FLEX,SLA (Stereolithography),"Aluminium Nitride, Silicon Nitride, Silicore and +5 materials",3DCeram,300 x 300 x 100 mm
C3600 ULTIMATE,SLA (Stereolithography),"Aluminium Nitride, Silicon Nitride, Silicore and +5 materials",3DCeram,600 x 600 x 300 mm
NXE 400,DUP (LCD-based Direct UV Printing),"Resin, Tough Resin, Flexible Resin",Nexa3D,280 x 165 x 400 mm 
Hands 2S,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",Tenlog 3D,220 x 220 x 250 mm
Hands 2 Multi Color,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +3 materials",Tenlog 3D,220 x 220 x 250 mm
TL-D3 Pro,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA and +10 materials",Tenlog 3D,300 x 300 x 350 mm
TL-D3S Dual Nozzle,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",Tenlog 3D,300 x 300 x 400 mm
TL-D5,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",Tenlog 3D,500 x 500 x 500 mm
TL-D6,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",Tenlog 3D,600 x 600 x 600 mm
TL-DLP,DLP (Digital Light Processing),"Resin, Tough Resin, Flexible Resin",Tenlog 3D,128 x 80 x 100 mm
XY-2 PRO,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",TronXY,255 x 255 x 260 mm
U30 Pro,FDM (Fused Deposition Modeling),"PLA, ABS, Rubber-like (TPU)",Alfawise,220 x 220 x 250 mm
Photon Zero,DUP (LCD-based Direct UV Printing),"Resin, Castable Resin, Tough Resin",Anycubic,97 x 54 x 150 mm
Kumitsu KL9,DUP (LCD-based Direct UV Printing),"Resin, Tough Resin, Flexible Resin",SainSmart,120 x  192 x 250 mm 
VORON2.2,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +1 materials",RepRap,300 x 300 x 500 mm
RailCore II,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +3 materials",RepRap,300 x 300 x 330 mm
FabPro 1000,DLP (Digital Light Processing),"FabProTough, FabProProto, FabProFlexible",3D Systems,125 x 70 x 120 mm 
S8,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +4 materials",SUNLU,310 x 310 x 400 mm
CraftBot Flow IDEX,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +2 materials",CraftUnique,425 x 250 x 250 mm
FELIX Pro 3 Touch,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",FELIXprinters,237 x 244 x 235 mm
Gear Version2,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA and +1 materials",ZYLtech,300 x 300 x 400 mm
Light 130,DUP (LCD-based Direct UV Printing),"Resin, Castable Resin, Tough Resin",Wiiboox,130 x 70 x 180 mm
F160,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",Creatbot,160 x 160 x 200 mm
Q5,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",FLSUN3D,200 x 200 x 200 mm
C250,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",Jariwala Robotics,250 x 250 x 350 mm
C350,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",Jariwala Robotics,350 x 350 x 450 mm
C450,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",Jariwala Robotics,450 x 450 x 550 mm
C550,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",Jariwala Robotics,550 x 550 x 650 mm
Sonic Mini,DUP (LCD-based Direct UV Printing),"Resin, Castable Resin, Tough Resin",Phrozen,120 x 68 x 130 mm
Sonic XL 4K,DUP (LCD-based Direct UV Printing),"Resin, Castable Resin, Tough Resin",Phrozen,120 x 190 x 200 mm
CR-10 V2,FDM (Fused Deposition Modeling),"PLA, ABS, HIPS and +10 materials",Creality,300 x 300 x 400 mm
Ender-3 V2,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +10 materials",Creality,220 x 220 x 250 mm
SK-Go²,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",SecKit,310 x 310 x 350 mm
Delta WASP 3MT INDUSTRIAL 4.0,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",Wasp3d,1000 x 1000 x 1200 mm
CR-6 SE,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA and +3 materials",Creality,235 x 235 x 250 mm
S-BOX,DUP (LCD-based Direct UV Printing),"Resin, Castable Resin, Tough Resin",Qidi Tech,215 x 130 x 200 mm
P802E,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",TronXY,220 x 220 x 210 mm
Photon Mono,DUP (LCD-based Direct UV Printing),"Resin, Tough Resin, Flexible Resin",Anycubic,130 x 80 x 165 mm
Photon Mono X,DUP (LCD-based Direct UV Printing),"Resin, Castable Resin, Tough Resin",Anycubic,192 x 120 x 245 mm
Photon Mono SE,DUP (LCD-based Direct UV Printing),"Resin, Tough Resin, Flexible Resin",Anycubic,130 x 78 x 160 mm
Mega S,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",Anycubic,210 x 210 x 205 mm
Mega Pro,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",Anycubic,210 x 210 x 205 mm
HBD-80,SLM (Selective Laser Melting),"Cobalt-Chrome (CoCr), Stainless Steel 17-4 PH, Stainless Steel 316L",HBD,120 x 120 x 80 mm
HBD-100,SLM (Selective Laser Melting),"Cobalt-Chrome (CoCr), Stainless Steel 17-4 PH, Stainless Steel 316L",HBD,105 x 105 x 100 mm
HBD-150,SLM (Selective Laser Melting),"Cobalt-Chrome (CoCr), Stainless Steel 17-4 PH, Stainless Steel 316L",HBD,159 x 159 x 100 mm
HBD-200,SLM (Selective Laser Melting),"Cobalt-Chrome (CoCr), Stainless Steel 17-4 PH, Stainless Steel 316L",HBD,270 x 170 x 120 mm
HBD-280,SLM (Selective Laser Melting),"Cobalt-Chrome (CoCr), Stainless Steel 17-4 PH, Stainless Steel 316L",HBD,250 x 250 x 300 mm
HBD-350,SLM (Selective Laser Melting),"Cobalt-Chrome (CoCr), Stainless Steel 17-4 PH, Stainless Steel 316L",HBD,325 x 325 x 400 mm
HBD-500,SLM (Selective Laser Melting),"Cobalt-Chrome (CoCr), Stainless Steel 17-4 PH, Stainless Steel 316L",HBD,400 x 435 x 435 mm
HBD-1000,SLM (Selective Laser Melting),"Cobalt-Chrome (CoCr), Stainless Steel 17-4 PH, Stainless Steel 316L",HBD,600 x 600 x 1000 mm
x500pro,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",German RepRap,500 x 400 x 450 mm
Bene 4,DUP (LCD-based Direct UV Printing),"Resin, Castable Resin, Tough Resin",NOVA3D,130 x 70 x 150 mm
220 MK3s,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon",Zaribo,250 x 210 x 210 mm
EPAX X1K,DUP (LCD-based Direct UV Printing),"Resin, Castable Resin, Tough Resin",EPAX 3D,130.56 x 82.62 x 155 mm
Sonic Mini 4K,DUP (LCD-based Direct UV Printing),"Resin, Tough Resin, Flexible Resin",Phrozen,130 x 73 x 130 mm
D600,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",Creatbot,600 x 600 x 600 mm
3D40,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",Dremel,255 x 155 x 170 mm
FLOW IDEX XL,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +2 materials",CraftUnique,425 x 250 x 500 mm 
Mars 2 Pro,DUP (LCD-based Direct UV Printing),"Resin, Castable Resin, Tough Resin",ELEGOO,129 x 80 x 160 mm 
Flyingbear Ghost 5,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon",FlyingBear,255 x 210 x 210 mm
MfgPro230 xS,SLS (Selective Laser Sintering),"H13 Tool Steel, PA12 Nylon, HP PA-12",XYZPrinting,230 x 230 x 230 mm 
A20M Mix-color,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon",Geeetech,255 x 255 x 255 mm
Method Carbon Fiber Edition,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +10 materials",Makerbot,190 x 190 x 196 mm
Saturn,DUP (LCD-based Direct UV Printing),"Resin, Castable Resin, Tough Resin",ELEGOO,192 x 120 x 200 mm
Mars C,DUP (LCD-based Direct UV Printing),"Resin, Castable Resin, Tough Resin",ELEGOO,120 x 68 x 155 mm
EPAX X133,DUP (LCD-based Direct UV Printing),"Resin, Castable Resin, Tough Resin",EPAX 3D,292 x 165 x 400 mm
EPAX X156,DUP (LCD-based Direct UV Printing),"Resin, Castable Resin, Tough Resin",ELEGOO,345 x 194 x 400 mm
Thinker S,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon",Eryone,300 x 300 x 400 mm
Thinker SE,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon",Eryone,300 x 300 x 400 mm
ER-20,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon",Eryone,250 x 220 x 200 mm
K3,DUP (LCD-based Direct UV Printing),"Resin, Castable Resin, Tough Resin",MINGDA,119 x 67 x 160 mm
XRIZE,FDM (Fused Deposition Modeling),"PLA, ABS, Carbon Fiber",Rize,310 x 200 x 200 mm
3Di - D300,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",3Deometry,300 x 300 x 300 mm
3Di-NoisyBot,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",3Deometry,180 x 180 x 250 mm
LD-002H,DUP (LCD-based Direct UV Printing),"Resin, Castable Resin, Tough Resin",Creality,130 x 82 x 160 mm
Guider I,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon",FlashForge,250 x 250 x 200 mm
Mars,DUP (LCD-based Direct UV Printing),"Resin, Castable Resin, Tough Resin",NOVA3D,130 x 70 x 150 mm
B1,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",BIQU,235 x 235 x 270 mm
Vivedino Troodon,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon",RepRap,300 x 300 x 400 mm
UP300,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon",Tiertime,205 x 255 x 225 mm 
X5,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon",Tiertime,180 x 230 x 200 mm 
Extreme 1500 PRO,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +1 materials",Builder,1100 x 500 x 820 mm
MINGDA D3 PRO,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon",MINGDA,320 x 320 x 400 mm
