Model,Technology,Materials,Brand,Build Size
Duplicator 12/230,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon",Wanhao,230 х 230 х 250 mm
Orange 10,DUP (LCD-based Direct UV Printing),"Resin, Castable Resin, Tough Resin",Longer,98 x 55 x 140 mm
SHARK,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon",LOTMAXX,235 x 235 x 265 mm
SC-10,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon",LOTMAXX,235 x 235 x 280 mm
Ender-6,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon",Creality,250 x 250 x 400 mm
STUDIO G2,FDM (Fused Deposition Modeling),"PVA, PLA, ABS and +4 materials",BigRep,1000 x 500 x 500 mm
CaribouDuet,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA and +2 materials",Caribou3d,250 x 210 x 220 mm
RenAM 500E,DMLS (Direct Metal Laser Sintering),"Cobalt-Chrome (CoCr), Aluminium Alloy AlSi12, Stainless Steel 316L",Renishaw,245 x 245 x 335 mm
A20,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",Geeetech,250 x 250 x 250 mm
Ender-3 Max,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA and +2 materials",Creality,300 x 300 x 340 mm
T76,SCP (Smooth Curvature Printing),Wax-like Resin,Solidscape,152 x 152 x 101 mm
Figure 4 Standalone,DLP (Digital Light Processing),"Resin, Castable Resin, Tough Resin",3D Systems,124.8 x 70.2 x 196 mm 
Mars 2,DUP (LCD-based Direct UV Printing),"Resin, Castable Resin, Tough Resin",ELEGOO,129 x 80 x 150 mm
ARTIST-D,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",JGMaker,310 x 310 x 350 mm
Deltacomb,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",RepRap,190 x 190 x 230 mm
LK5 Pro,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",Longer,300 x 300 x 400 mm
LK1,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",Longer,300 x 300 x 400 mm
AM250,SLM (Selective Laser Melting),"Cobalt-Chrome (CoCr), Stainless Steel 17-4 PH, Aluminium Alloy AlSi12",Renishaw,250 x 250 x 365 mm
RenAM 500M,DMLS (Direct Metal Laser Sintering),"Cobalt-Chrome (CoCr), Stainless Steel 17-4 PH, Aluminium Alloy AlSi12 and +1 materials",Renishaw,250 x 250 x 350 mm
E10,DUP (LCD-based Direct UV Printing),"Resin, Castable Resin, Tough Resin",EPAX 3D,192 x 120 x 250 mm
30M,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",Hyrel3D,225 x 200 x 200 mm
X5SA-500 PRO,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",TronXY,500 x 500 x 600 mm
S500 Mono,DUP (LCD-based Direct UV Printing),"Resin, Castable Resin, Tough Resin",Kelant,192 x 120 x 200 mm 
IBEE,DUP (LCD-based Direct UV Printing),"Resin, Castable Resin, Tough Resin",Uniz,190 x 119 x 203 mm 
Proxima 6,DUP (LCD-based Direct UV Printing),"PC-ABS, Polycarbonate (PC), Resin and +8 materials",Voxelab,130 x 82 x 155 mm
Aquila,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +1 materials",Voxelab,220 x 220 x 250 mm
AON-M2,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +5 materials",AON3D,450 x 450 x 640 mm
Daedalus,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",Project R3D,310 x 300 x 345 mm
VORON 0,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",RepRap,120 x 120 x 120 mm
VORON V2.4,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +11 materials",RepRap,200 x 200 x 200 mm
Large-scale Custom Printer,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",RepRap,800 x 400 x 400 mm
ProJet DP 3500,MJP (MultiJet Printing),VisiJet M3 Dentcast,3D Systems,298 x 185 x 203 mm
P220,FDM (Fused Deposition Modeling),"PLA, ABS, PC-ABS and +5 materials",Apium,205 x 155 x 150 mm
LC Magna,DUP (LCD-based Direct UV Printing),"Resin, Castable Resin, Tough Resin",Photocentric 3D,510 x 280 x 350 mm 
ALFA-150D,"3DP (3D Printing, Powder Bed and Inkjet Head 3D Printing, Plaster-based 3D Printing)","Cobalt-Chrome (CoCr), Stainless Steel 316L, Aluminium AlSi10Mg",Additive Laser Technology,150 х 150 х 180 mm
Alfa-280,"3DP (3D Printing, Powder Bed and Inkjet Head 3D Printing, Plaster-based 3D Printing)","Cobalt-Chrome (CoCr), Stainless Steel 316L, Aluminium AlSi10Mg",Additive Laser Technology,280 х 280 х 300 mm
Hornet,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",Artillery,220 x 220 x 250 mm
Fortus 200mc,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",Stratasys,203 x 203 x 305 mm 
SV02,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",Sovol3d,280 x 240 x 300 mm
Ender 5 Pro,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +1 materials",Creality,220 x 220 x 300 mm
Sapphire Plus,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",Twotrees,310 x 310 x 350 mm
KUKA KR 60,FDM (Fused Deposition Modeling),"PLA, ABS, PETG  and +1 materials",RobotWorx,2000 x 2000 x 3000 mm
Delta WASP 2040 INDUSTRIAL X,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA and +7 materials",Wasp3d,200 x 200 x 400 mm
FUNMAT PRO 410,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +6 materials",Intamsys,305 x 305 x 406 mm 
J55,PolyJet and PolyJetMatrix,"Vero, Tango (Rubber-like material), Bio-compatible (MED610)",Stratasys,140 x 200 x 190 mm 
SV03,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA and +7 materials",Sovol3d,350 x 350 x 400 mm
Creator Max 2,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",FlashForge,200 x 148 x 150 mm 
Duplicator D12/500,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",Wanhao,500 x 500 x 500 mm
CR-10 Smart,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",Creality,300 x 300 x 400 mm
PRO,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon",Zyyx,260 x 225 x 200 mm
Massivit 5000,GDP (Gel Dispensing Printing),,MASSIVit 3D,1450 x 1110 x 1800 mm 
M200 Plus,LPD (Layer Plastic Deposition),"PLA, ABS, Nylon and +10 materials",Zortrax,200 x 200 x 180 mm 
Sonic Mighty 4K,DUP (LCD-based Direct UV Printing),"Resin, Castable Resin, Tough Resin",Phrozen,200 x 125 x 220 mm
Original Prusa i3 MK3S+,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +39 materials",Prusa 3D,250 x 210 x 210 mm 
Raptor,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +1 materials",BRESSER,100 x 105 x 100 mm
Tina 2,FDM (Fused Deposition Modeling),PLA,WEEDO 3D,100 x 105 x 100 mm
Cadet,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",Monoprice,100 x 105 x 100 mm
3DPrintMill CR-30,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",Creality,200 x 170 x 1000 mm
Vyper,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",Anycubic,245 x 245 x 260 mm
Voron 1,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",RepRap,200 x 200 x 200 mm
Original Prusa SL1S,DUP (LCD-based Direct UV Printing),"Resin, Castable Resin, Tough Resin",Prusa 3D,127 x 80 x 150 mm
Advance 255,DUP (LCD-based Direct UV Printing),"Resin, Castable Resin, Tough Resin",MiiCraft,255 x 235 x 190 mm
Advance 205,DUP (LCD-based Direct UV Printing),"Resin, Castable Resin, Tough Resin",MiiCraft,205 x 185 x 190 mm
Profession 250,DUP (LCD-based Direct UV Printing),"Resin, Castable Resin, Tough Resin",MiiCraft,250 x 140 x 190 mm
Profession 120,DUP (LCD-based Direct UV Printing),"Resin, Castable Resin, Tough Resin",MiiCraft,120 x 67 x 190 mm
Prime 150,DUP (LCD-based Direct UV Printing),"Resin, Castable Resin, Tough Resin",MiiCraft,150 x 85 x 120 mm
Prime 110,DUP (LCD-based Direct UV Printing),"Resin, Castable Resin, Tough Resin",MiiCraft,110 x 62 x 120 mm
Hyper 125,DUP (LCD-based Direct UV Printing),"Resin, Castable Resin, Tough Resin",MiiCraft,125 x 70 x 120 mm
Hyper 80,DUP (LCD-based Direct UV Printing),"Resin, Castable Resin, Tough Resin",MiiCraft,80 x 45 x 120 mm
Hyper 50,DUP (LCD-based Direct UV Printing),"Resin, Castable Resin, Tough Resin",MiiCraft,57 x 32 x 120 mm
Ultra 150,DUP (LCD-based Direct UV Printing),"Resin, Castable Resin, Tough Resin",MiiCraft,150 x 85 x 120 mm
Ultra 125,DUP (LCD-based Direct UV Printing),"Resin, Castable Resin, Tough Resin",MiiCraft,125 x 70 x 120 mm
Ultra 100,DUP (LCD-based Direct UV Printing),"Resin, Castable Resin, Tough Resin",MiiCraft,102 x 58 x 120 mm
Ultra 80,DUP (LCD-based Direct UV Printing),"Resin, Castable Resin, Tough Resin",MiiCraft,80 x 45 x 120 mm
Ultra 50,DUP (LCD-based Direct UV Printing),"Resin, Castable Resin, Tough Resin",MiiCraft,57 x 32 x 120 mm
Solidscape S350,SCP (Smooth Curvature Printing),Wax-like Resin,Solidscape,152.4 x 152.4 x 101.6 mm
T22 Max,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",TOP 3D,300 x 300 x 250 mm
T22 classic,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",TOP 3D,220 x 220 x 250 mm
T22 Pro,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",TOP 3D,220 x 220 x 250 mm
T22 Max Pro,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",TOP 3D,300 x 300 x 250 mm
T32,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",TOP 3D,300 x 200 x 200 mm
PT1000,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",Arcelik,150 x 150 x 150 mm
VORON Switchwire,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",RepRap,300 x 300 x 300 mm
Mars 3,DUP (LCD-based Direct UV Printing),"Resin, Castable Resin, Tough Resin",ELEGOO,90 x 143 x 175 mm
Tycoon Max,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",Kywoo3D,300 x 300 x 230 mm
Tycoon,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",Kywoo3D,240 x 240 x 240 mm
PEEK-300,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +8 materials",Creatbot,300 x 300 x 400 mm
Proxima 8.9,DUP (LCD-based Direct UV Printing),"Resin, Castable Resin, Tough Resin",Voxelab,192 x 120 x 200 mm
i-fast,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",Qidi Tech,330 x 250 x 320 mm
HALOT-ONE,DUP (LCD-based Direct UV Printing),"Resin, Castable Resin, Tough Resin",Creality,127 x 80 x 160 mm
Cetus MK3 Extended Deluxe,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",Cetus3D,180 x 280 x 180 mm
Sonic Mega 8K,DUP (LCD-based Direct UV Printing),"Resin, Castable Resin, Tough Resin",Phrozen,330 x 185 x 400 mm
Creative 2 SW,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +5 materials",Magnum,235 x 170 x 180 mm
Sermoon D1,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",Creality,280 x 260 x 310 mm
A150,FDM (Fused Deposition Modeling),"Polycarbonate (PC), Ultem (PEI) 1010, Ultem (PEI) 9085 and +1 materials",Orion AM,150 x 150 x 150 mm
M150,FDM (Fused Deposition Modeling),,Orion AM,150 x 150 x 150 mm
AMCELL 8300,ADAM,"PLA, ABS, Nylon and +12 materials",Triditive,300 x 300 x 350 mm
AMCELL 1400,ADAM,"PLA, ABS, Nylon and +12 materials",Triditive,450 x 400 x 500 mm
One,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +1 materials",iFactory3D,290 x 200 x 1000 mm
Two Trees Sappheiros PRO High Precision,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",Usongshine,235 x 235 x 235 mm
Cambrian Pro,FDM (Fused Deposition Modeling),,Atomstack,235 x 235 x 250 mm
Cambrian Max,FDM (Fused Deposition Modeling),,Atomstack,320 x 330 x 380 mm
Adventurer 4,FDM (Fused Deposition Modeling),"PLA, ABS, Polycarbonate (PC) and +1 materials",FlashForge,220 x 200 x 250 mm
Ender-7,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",Creality,250 x 250 x 300 mm
CR-200B,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",Creality,200 x 200 x 200 mm
Nano,FDM (Fused Deposition Modeling),,Polaroid,119 x 119 x 119 mm 
INDUSTRY F340,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +5 materials",3DGence,260 x 300 x 340 mm
HALOT-SKY,DUP (LCD-based Direct UV Printing),"Resin, Castable Resin, Tough Resin",Creality,192 x 120 x 200 mm
NEPTUNE 2,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",ELEGOO,220 x 220 x 250 mm
ET5X,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",Anet 3D,300 x 300 x 400 mm
SATURN S,DUP (LCD-based Direct UV Printing),"Resin, Castable Resin, Tough Resin",ELEGOO,196 x 122 x 210 mm
Sinterit S2,SLS (Selective Laser Sintering),"PA12 Nylon, TPU powder",Sinterit,130 x 130 x 360 mm
ONJON 2.0,SLS (Selective Laser Sintering),PA12 Nylon,3D Bistro,300 x 300 x 450 mm
MAX X 35,DLP (Digital Light Processing),"Resin, Castable Resin, Tough Resin",Asiga,67.2 x 38 x 76 mm 
Ender-3 S1 Pro,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",Creality,220 x 220 x 270 mm
Ender-3 S1,FDM (Fused Deposition Modeling),,Creality,220 x 220 x 270 mm
Ender-2 Pro,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",Creality,165 x 165 x 180 mm
CR-10 Smart Pro,FDM (Fused Deposition Modeling),,Creality,300 x 300 x 400 mm
CR-6 MAX,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",Creality,400 x 400 x 400 mm
CR-X Pro,FDM (Fused Deposition Modeling),,Creality,300 x 300 x 400 mm
HALOT-LITE,DUP (LCD-based Direct UV Printing),"Resin, Castable Resin, Tough Resin",Creality,192 x 120 x 200 mm
HALOT-MAX,DUP (LCD-based Direct UV Printing),"Resin, Castable Resin, Tough Resin",Creality,293 x 165 x 300 mm
LD-006,DUP (LCD-based Direct UV Printing),"Resin, Castable Resin, Tough Resin",Creality,192 x 120 x 250 mm
Sermoon V1,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +1 materials",Creality,175 x 175 x 165 mm
Photon Mono X 6K,DUP (LCD-based Direct UV Printing),"Resin, Castable Resin, Tough Resin",Anycubic,245 x 197 x 122 mm 
Photon Mono X 4K,DUP (LCD-based Direct UV Printing),"Resin, Castable Resin, Tough Resin",Anycubic,165 x 132 x 80 mm
Photon Mono SQ,DUP (LCD-based Direct UV Printing),"Resin, Castable Resin, Tough Resin",Anycubic,128 x 120 x 200 mm
Mega SE,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",Anycubic,220 x 220 x 250 mm
Foto 8.9,DUP (LCD-based Direct UV Printing),"Resin, Castable Resin, Tough Resin",FlashForge,192 x 120 x 200 mm
Creator Pro 2,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",FlashForge,200 x 148 x 150 mm
Creator 4,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +6 materials",FlashForge,400 x 350 x 500 mm
WaxJet 400,MJP (MultiJet Printing),Wax-like Resin,FlashForge,289 x 218 x 150 mm
Focus 8.9,DUP (LCD-based Direct UV Printing),"Resin, Castable Resin, Tough Resin",FlashForge,192 x 120 x 200 mm
AD1,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",FlashForge,600 x 600 x 70 mm 
Foto 6.0,DUP (LCD-based Direct UV Printing),"Resin, Castable Resin, Tough Resin",FlashForge,130 x 78 x 155 mm
Foto 8.9s,DUP (LCD-based Direct UV Printing),"Resin, Castable Resin, Tough Resin",FlashForge,192 x 120 x 200 mm
Foto 13.3,DUP (LCD-based Direct UV Printing),"Resin, Castable Resin, Tough Resin",FlashForge,292 x 165 x 400 mm
Dreamer NX,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +1 materials",FlashForge,485 x 344 x 382 mm
Tycoon Max 2.0,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",Kywoo3D,300 x 300 x 230 mm
V-Core 3,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +7 materials",RatRig,300 x 300 x 300 mm
LulzBot TAZ Workhorse,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",LulzBot,280 x 280 x 285 mm 
Proforge 3,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",Makertech 3D,300 x 300 x 300 mm
GUIDER IIs,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",FlashForge,280 x 250 x 300 mm
Creator 3 Pro,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",FlashForge,300 x 250 x 200 mm
SV04,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",Sovol3d,300 x 300 x 400 mm
Photon Ultra,DLP (Digital Light Processing),"Resin, Castable Resin, Tough Resin",Anycubic,102.4 x 57.6 x 165 mm
Sonic Mini 8K,DUP (LCD-based Direct UV Printing),"Resin, Castable Resin, Tough Resin",Phrozen,165 x 72 x 180 mm
Delta WASP 60100,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",Wasp3d,600 x 600 x 1000 mm
KP3S,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",Kingroon,180 x 180 x 180 mm
Hands 2 Pro IDEX,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",Tenlog 3D,230 x 230 x 250 mm
22 IDEX,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA and +2 materials",VisionMiner,350 x 350 x 450 mm
Pro L,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",FELIXprinters,300 x 400 x 400 mm 
Form 3+,SLA (Stereolithography),"Resin, Castable Resin, Tough Resin",Formlabs,335 x 200 x 300 mm 
Photon M3 Max,DUP (LCD-based Direct UV Printing),"Resin, Castable Resin, Tough Resin",Anycubic,300 х 298 х 164 mm
Jupiter,DUP (LCD-based Direct UV Printing),"Resin, Castable Resin, Tough Resin",ELEGOO,277 x 156 x 300 mm
Saturn 2,DUP (LCD-based Direct UV Printing),"Resin, Castable Resin, Tough Resin",ELEGOO,218 x 123 x 250 mm
SP-5,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",Twotrees,300 x 300 x 330 mm
SP-3,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",Twotrees,220 x 220 x 220 mm
BLU-5,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",Twotrees,300 x 300 x 400 mm
BLU-3,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",Twotrees,235 x 235 x 280 mm
i-mate,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",Qidi Tech,260 x 200 x 200 mm
Sidewinder X2,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",Artillery,300 x 300 x 400mm
Genius Pro,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",Artillery,220 x 220 x 250 mm
Cube 2,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",Longer,120 x 140 x 105 mm
Pro3,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",Raise3D,300 x 300 x 300 mm
Pro3 Plus,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",Raise3D,300 x 300 x 605 mm
Photon M3,DUP (LCD-based Direct UV Printing),"Resin, Castable Resin, Tough Resin and +1 materials",Anycubic,180 x 163.9 x 102.4 mm
Ender-3 S1 Plus,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",Creality,300 x 300 x 300 mm
EPSILON W50,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +2 materials",BCN3D,420 x 300 x 400 mm
Epsilon W27,FDM (Fused Deposition Modeling),"PLA, ABS, Nylon and +2 materials",BCN3D,420 x 300 x 200 mm
X1 Carbon,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA and +2 materials",Bambu Lab,256 x 256 x 256 mm
Sonic Mighty 8K,DUP (LCD-based Direct UV Printing),"Resin, Castable Resin, Tough Resin and +1 materials",Phrozen,218  x 123  x 235 mm
XiP,DUP (LCD-based Direct UV Printing),"Resin, Castable Resin, Tough Resin",Nexa3D,195 x 115 x 210 mm
3DUJ-553,PolyJet and PolyJetMatrix,"Vero, Durable (PP-like) Resin, Tango (Rubber-like material)",Mimaki,508 x 508 x 305 mm
V-Minion,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",RatRig,180 x 180 x 180 mm
X-Maker,FDM (Fused Deposition Modeling),"PLA, ABS, Wood PLA",Qidi Tech,170 x 150 x 150 mm
